ID,Start time,Completion time,Email,Name,What is your gender?,What is your age?,What is your current level of education?,What was the table about?,  When did you read this table?,How many times had you looked at that table before?,What did you do with the table?  Check all that apply,What kinds of tables do you usually look at on your phone? (check all that apply),What kind of Table is this survey asking about?,Reading tables on phones is generally,"If a table you want to read is hard to read on your phone, are you most likely to",What do you find hard about reading tables on your phone? (check all that apply),What would make it easier to look at tables on your phone?
218,6/9/21 10:27:22,6/9/21 10:29:24,anonymous,,Male,35,Bachelor's Degree,Finance / Money / Receipt / Invoice,In the last day,More than once,Analyze/compare rows or columns;Locate specific information;,"Finance / Money / Receipt / Invoice;Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);",Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Hard to tell what text is in what column;Hard to tell what text is in what row;,The ability to change table sizes relative to the page size. Basically a pop-out table.
219,6/9/21 10:26:22,6/9/21 10:29:26,anonymous,,Male,62,Undergraduate Student,Restaurant Menu,In the last day,Once,Read the entire table word for word;Analyze/compare rows or columns;,"Restaurant Menu;Finance / Money / Receipt / Invoice;Nutrition / Ingredient list / Dosage chart;Schedule (Bus, event calendar, time sheet, etc.);","What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Text is too close together;,zooming
220,6/9/21 10:27:18,6/9/21 10:30:20,anonymous,,Male,40,Graduate Degree,Finance / Money / Receipt / Invoice,In the last week,Once,Locate specific information;,Finance / Money / Receipt / Invoice;,"What you eat your breakfast, lunch, or dinner on",Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;,good
221,6/9/21 10:27:07,6/9/21 10:30:21,anonymous,,Male,32,High School Diploma or GED,Product Specifications,In the last week,Never,Locate specific information;Analyze/compare rows or columns;,"Finance / Money / Receipt / Invoice;Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);",Text/Numbers arranged in rows and columns,Hard,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Text is too small;,"Some way of auto formatting that could help to read more information ant the same time, without being too small."
222,6/9/21 10:03:11,6/9/21 10:30:39,anonymous,,Male,30,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Once,Analyze/compare rows or columns;Locate specific information;,Nutrition / Ingredient list / Dosage chart;Product Specifications;Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Text is too close together;Hard to tell what text is in what row;,"IT HELPS TO REMOVE PILLS, GRITLINES, BORDER AND BOLDING ETC.... CAN BE HELPS TO MAKE EASIER."
223,6/9/21 10:27:56,6/9/21 10:30:47,anonymous,,Female,25,Graduate Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Never,Locate specific information;Analyze/compare rows or columns;,Nutrition / Ingredient list / Dosage chart;Product Specifications;,"What you eat your breakfast, lunch, or dinner on",Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too close together;Text is too small;Table is too wide or too tall for screen;,I magnify it and then read the data on a table.
224,6/9/21 10:21:25,6/9/21 10:31:12,anonymous,,Male,28,Graduate Degree,Restaurant Menu,In the last day,Once,Read the entire table word for word;Analyze/compare rows or columns;,Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Product Specifications;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,Use your phone anyway,Text is too small;Table is too wide or too tall for screen;,All details are given accurately when used on the phone
225,6/9/21 10:25:30,6/9/21 10:32:09,anonymous,,Male,27,Bachelor's Degree,Restaurant Menu,In the last day,More than once,Analyze/compare rows or columns;,Restaurant Menu;,Text/Numbers arranged in rows and columns,Hard,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Hard to tell what text is in what row;Hard to tell what text is in what column;,Zooming in.
226,6/9/21 10:31:23,6/9/21 10:32:55,anonymous,,Male,27,Bachelor's Degree,basketball stats,In the last month,Never,Analyze/compare rows or columns;,sports stats;,Text/Numbers arranged in rows and columns,Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;,being able to click certain cells and snap to them
227,6/9/21 10:31:16,6/9/21 10:33:39,anonymous,,Male,47,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,More than once,Read the entire table word for word;Analyze/compare rows or columns;,Nutrition / Ingredient list / Dosage chart;,Text/Numbers arranged in rows and columns,Very Easy,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;,Have the designer make the table mobile friendly
228,6/9/21 10:31:29,6/9/21 10:34:02,anonymous,,Male,43,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,More than once,Locate specific information;Read the entire table word for word;,Nutrition / Ingredient list / Dosage chart;,Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;Table is too wide or too tall for screen;,ZOOM IN AND OUT 
229,6/9/21 10:28:17,6/9/21 10:34:09,anonymous,,Female,28,Graduate Degree,Finance / Money / Receipt / Invoice,In the last day,More than once,Locate specific information;,"Finance / Money / Receipt / Invoice;Schedule (Bus, event calendar, time sheet, etc.);",Text/Numbers arranged in rows and columns,Very Easy,Print out the table,Text is too small;,"bigger fonts, facility to move into columns and rows"
230,6/9/21 10:31:36,6/9/21 10:34:13,anonymous,,Female,36,Graduate Degree,Nutrition / Ingredient list / Dosage chart,In the last day,Once,Locate specific information;Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Easy,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Text is too small;,Nothing
231,6/9/21 10:30:38,6/9/21 10:34:53,anonymous,,Female,39,High School Diploma or GED,Restaurant Menu,In the last week,Never,Locate specific information;,Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Finance / Money / Receipt / Invoice;,Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;,"If the table is configured to fit into a phone's frame of view. Some websites configure their tables already so that this happens, but not all of them do this."
232,6/9/21 10:31:10,6/9/21 10:35:13,anonymous,,Male,25,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,More than once,Locate specific information;Read the entire table word for word;,"Nutrition / Ingredient list / Dosage chart;Restaurant Menu;Schedule (Bus, event calendar, time sheet, etc.);",Text/Numbers arranged in rows and columns,Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;Hard to tell what text is in what column;Hard to tell what text is in what row;,The ability of the table to adapt to the size of my screen. It would also be nice if it kept the header information when zooming. 
233,6/9/21 10:32:03,6/9/21 10:35:54,anonymous,,Female,28,Graduate Degree,Restaurant Menu,In the last day,Once,Read the entire table word for word;Locate specific information;,Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Product Specifications;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,Use your phone anyway,Text is too small;Table is too wide or too tall for screen;,All the details on the mobile phone are located precisely and easily
234,6/9/21 10:31:30,6/9/21 10:36:25,anonymous,,Male,36,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,More than once,Analyze/compare rows or columns;Read the entire table word for word;,Finance / Money / Receipt / Invoice;Product Specifications;,"What you eat your breakfast, lunch, or dinner on",Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too close together;Text is too small;,"Table format should be in dark mode, with bold letters "
235,6/9/21 10:32:52,6/9/21 10:37:23,anonymous,,Male,32,Bachelor's Degree,Finance / Money / Receipt / Invoice,In the last week,More than once,Analyze/compare rows or columns;Locate specific information;,"Finance / Money / Receipt / Invoice;Nutrition / Ingredient list / Dosage chart;Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);",A website that has lots of information on it,Easy,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Text is too small;,"Well detailed
Organized
Familiar fonts 
Great and Modern Graphics "
236,6/9/21 10:32:18,6/9/21 10:38:12,anonymous,,Male,55,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,More than once,Analyze/compare rows or columns;Read the entire table word for word;Locate specific information;,"Finance / Money / Receipt / Invoice;Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Schedule (Bus, event calendar, time sheet, etc.);Product Specifications;","What you eat your breakfast, lunch, or dinner on",Easy,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Text is too close together;Can’t see all the information I need at the same time;,ZOOM THE SCREEN
237,6/9/21 10:31:52,6/9/21 10:38:45,anonymous,,Female,30,Graduate Degree,Nutrition / Ingredient list / Dosage chart,In the last week,More than once,Read the entire table word for word;Analyze/compare rows or columns;,Restaurant Menu;Finance / Money / Receipt / Invoice;Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Easy,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Text is too small;,Helpful for zoom to look at tables on mobile
238,6/9/21 10:37:09,6/9/21 10:39:00,anonymous,,Male,48,High School Diploma or GED,Product Specifications,More than a month ago,Once,Locate specific information;,Product Specifications;,Text/Numbers arranged in rows and columns,Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Text is too small;Text is too close together;need to zoom in or out;,some kind of translation app that can make the figures readable on phone view and not showing it as a web page view which is harder to read
239,6/9/21 10:37:41,6/9/21 10:39:04,anonymous,,Male,27,High School Diploma or GED,Restaurant Menu,In the last week,Never,Locate specific information;,Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Product Specifications;,Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;,Having a bigger screen would really be the only solution in my mind.
240,6/9/21 10:33:54,6/9/21 10:39:49,anonymous,,Male,28,Bachelor's Degree,Product Specifications,In the last month,Once,Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;Restaurant Menu;Product Specifications;,Text/Numbers arranged in rows and columns,Very Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;,Better font for wordings
241,6/9/21 10:37:45,6/9/21 10:40:28,anonymous,,Female,32,Bachelor's Degree,Product Specifications,In the last week,Once,Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;Product Specifications;,Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Text is too small;,designs that ensure the text is readable
242,6/9/21 10:40:15,6/9/21 10:41:28,anonymous,,Male,28,Graduate Degree,Restaurant Menu,In the last week,Once,Locate specific information;,Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Easy,Give up and not read the table,Can’t see all the information I need at the same time;Text is too close together;,"A table is a grid of cells arranged in rows and columns. ... In Word, you can create a blank table, convert text to a table, and apply a variety of styles and formats to ... If the insertion point is in the last cell, pressing the Tab key will automatically create a new row. ... You may need to experiment to get the exact look you want.
"
243,6/9/21 10:07:44,6/9/21 10:41:37,anonymous,,Female,61,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last month,Never,Locate specific information;,Nutrition / Ingredient list / Dosage chart;,Text/Numbers arranged in rows and columns,Neither Easy nor Hard,Give up and not read the table,Can’t see all the information I need at the same time;,easier to read
244,6/9/21 10:01:06,6/9/21 10:42:02,anonymous,,Female,35,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,Never,Locate specific information;,"Finance / Money / Receipt / Invoice;Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);",Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Can’t see all the information I need at the same time;,A good format that is easy to read. Easy way to zoom. 
245,6/9/21 10:39:14,6/9/21 10:42:54,anonymous,,Female,21,Bachelor's Degree,Finance / Money / Receipt / Invoice,In the last day,Once,Analyze/compare rows or columns;Locate specific information;,Finance / Money / Receipt / Invoice;Nutrition / Ingredient list / Dosage chart;,Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Text is too small;Table is too wide or too tall for screen;,a table that is the right size for the screen
246,6/9/21 10:35:22,6/9/21 10:43:18,anonymous,,Male,33,Bachelor's Degree,Product Specifications,In the last day,More than once,Analyze/compare rows or columns;,"Product Specifications;Nutrition / Ingredient list / Dosage chart;Finance / Money / Receipt / Invoice;Restaurant Menu;Schedule (Bus, event calendar, time sheet, etc.);",Text/Numbers arranged in rows and columns,Very Hard,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Text is too small;Table is too wide or too tall for screen;Hard to tell what text is in what row;Hard to tell what text is in what column;,option to hide unwanted rows/columns within the website. sometimes charts and diagrams help more than data. I think it would be great if a double touch at particular portion zooms that portion only to a predetermined size and double touching again brings back the table to original size. 2 finger zooming for a table is really hard especially when data quantity is large.
247,6/9/21 10:40:22,6/9/21 10:43:27,anonymous,,Male,37,High School Diploma or GED,Finance / Money / Receipt / Invoice,In the last day,Never,Analyze/compare rows or columns;Read the entire table word for word;Locate specific information;,Nutrition / Ingredient list / Dosage chart;Product Specifications;Restaurant Menu;Finance / Money / Receipt / Invoice;,Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too close together;Hard to tell what text is in what row;Hard to tell what text is in what column;Can’t see all the information I need at the same time;,To make zooming in and out very fluid so that I can quickly zoom in and out for information analysis and comparison as quickly as possible.
248,6/9/21 10:42:56,6/9/21 10:45:32,anonymous,,Female,27,Bachelor's Degree,Restaurant Menu,In the last week,More than once,Locate specific information;,Restaurant Menu;Finance / Money / Receipt / Invoice;Nutrition / Ingredient list / Dosage chart;,Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too close together;Can’t see all the information I need at the same time;,BIGGER FONT
249,6/9/21 10:43:35,6/9/21 10:46:19,anonymous,,Male,22,Bachelor's Degree,Finance / Money / Receipt / Invoice,In the last day,Once,Read the entire table word for word;Analyze/compare rows or columns;Locate specific information;,Finance / Money / Receipt / Invoice;Nutrition / Ingredient list / Dosage chart;,Text/Numbers arranged in rows and columns,Very Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;Can’t see all the information I need at the same time;Table is too wide or too tall for screen;,that the screen is compatible with the size of the table
250,6/9/21 10:44:14,6/9/21 10:46:25,anonymous,,Female,45,High School Diploma or GED,Finance / Money / Receipt / Invoice,In the last day,More than once,Locate specific information;Read the entire table word for word;Analyze/compare rows or columns;,"Finance / Money / Receipt / Invoice;Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);","What you eat your breakfast, lunch, or dinner on",Hard,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;Hard to tell what text is in what row;,Make bold text
251,6/9/21 10:47:23,6/9/21 10:50:11,anonymous,,Male,43,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last month,Once,Read the entire table word for word;,Restaurant Menu;Nutrition / Ingredient list / Dosage chart;,A piece of furniture with a flat top and one or more legs,Very Easy,Use your phone anyway,Can’t see all the information I need at the same time;Table is too wide or too tall for screen;,IT WAS  INTERESTING
252,6/9/21 10:46:39,6/9/21 10:50:25,anonymous,,Male,29,Bachelor's Degree,Restaurant Menu,In the last month,More than once,Locate specific information;Read the entire table word for word;,Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,Use your phone anyway,Text is too small;Text is too close together;,Reading news and article are easy
253,6/9/21 10:40:11,6/9/21 10:50:38,anonymous,,Male,30,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Once,Analyze/compare rows or columns;Locate specific information;,Nutrition / Ingredient list / Dosage chart;,Text/Numbers arranged in rows and columns,Hard,"View the table on a larger device (e.g., laptop or tablet)",Text is too close together;Hard to tell what text is in what row;,na
254,6/9/21 10:48:33,6/9/21 10:50:41,anonymous,,Male,34,Bachelor's Degree,Finance / Money / Receipt / Invoice,In the last week,Once,Locate specific information;Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Product Specifications;,Text/Numbers arranged in rows and columns,Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;,"Tables that are better optimized for phone viewing (size, orientation, navigation)"
255,6/9/21 10:47:50,6/9/21 10:50:53,anonymous,,Female,54,High School Diploma or GED,Coronavirus cases in my state,In the last week,More than once,Analyze/compare rows or columns;Locate specific information;,"Nutrition / Ingredient list / Dosage chart;Schedule (Bus, event calendar, time sheet, etc.);Coronavirus cases in my state;",Text/Numbers arranged in rows and columns,Very Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;,If I was easily able to enlarge the text
256,6/9/21 10:48:03,6/9/21 10:51:40,anonymous,,Male,21,Bachelor's Degree,Finance / Money / Receipt / Invoice,In the last week,More than once,Analyze/compare rows or columns;Locate specific information;Read the entire table word for word;,Finance / Money / Receipt / Invoice;Nutrition / Ingredient list / Dosage chart;Product Specifications;,Text/Numbers arranged in rows and columns,Very Easy,Use your phone anyway,Table is too wide or too tall for screen;Text is too small;Hard to tell what text is in what row;Can’t see all the information I need at the same time;,that tables be made in certain cell phone patterns
257,6/9/21 10:50:46,6/9/21 10:53:30,anonymous,,Male,30,Graduate Degree,Product Specifications,In the last week,Once,Analyze/compare rows or columns;Locate specific information;,Product Specifications;Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,Use your phone anyway,Can’t see all the information I need at the same time;Text is too small;,scrolling down the table
258,6/9/21 10:49:57,6/9/21 10:53:35,anonymous,,Male,35,Bachelor's Degree,Finance / Money / Receipt / Invoice,In the last day,More than once,Locate specific information;,Finance / Money / Receipt / Invoice;Restaurant Menu;,Text/Numbers arranged in rows and columns,Hard,Give up and not read the table,Can’t see all the information I need at the same time;,"If every website formatted their websites to be viewed on phones, it would be helpful.  Text should be large enough to read.  The background should be dark so its easy to read for a long period of time.  Make use of dropdown menus and collapsed menus to compact info in an organized way."
259,6/9/21 10:52:49,6/9/21 10:54:17,anonymous,,Male,25,Graduate Student,Restaurant Menu,In the last day,Once,Read the entire table word for word;Locate specific information;Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too close together;,Restaurant menu
260,6/9/21 10:45:56,6/9/21 10:56:39,anonymous,,Male,28,Bachelor's Degree,Product Specifications,In the last week,Never,Locate specific information;,Restaurant Menu;Product Specifications;,Text/Numbers arranged in rows and columns,Neither Easy nor Hard,Give up and not read the table,Can’t see all the information I need at the same time;,"1. Tables can fit well on landscape mode.
2. Don't show tables as picture, otherwise tables may be blurred if zoom-in."
261,6/9/21 10:53:42,6/9/21 10:57:30,anonymous,,Female,38,Undergraduate Student,Finance / Money / Receipt / Invoice,In the last week,More than once,Analyze/compare rows or columns;Locate specific information;,Finance / Money / Receipt / Invoice;,A website that has lots of information on it,Hard,Use your phone anyway,Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;Text is too close together;,"Easy to read text, concise information, enough space between words or data."
262,6/9/21 10:39:46,6/9/21 10:58:21,anonymous,,Male,25,Bachelor's Degree,Product Specifications,In the last week,More than once,Read the entire table word for word;Locate specific information;,Product Specifications;Finance / Money / Receipt / Invoice;,A piece of furniture with a flat top and one or more legs,Easy,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Text is too close together;,To change the portrait mode .It will better look  on our phone . 
263,6/9/21 10:56:55,6/9/21 10:59:26,anonymous,,Female,34,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,Never,Locate specific information;Analyze/compare rows or columns;Copy/paste text from the table;,Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Easy,Use your phone anyway,Text is too small;,bigger text
264,6/9/21 10:58:59,6/9/21 11:00:51,anonymous,,Female,28,Bachelor's Degree,Restaurant Menu,In the last day,Once,Locate specific information;,Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;Table is too wide or too tall for screen;,It is very attractive and easy to readable . Lots of dishes listed with images it helps me to choose order easily.
265,6/9/21 10:56:04,6/9/21 11:01:44,anonymous,,Male,30,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last month,Once,Locate specific information;,Nutrition / Ingredient list / Dosage chart;Restaurant Menu;Product Specifications;,Text/Numbers arranged in rows and columns,Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Text is too small;,"Perhaps more dynamic tables where we can select the most important information and remove the irrelevant ones, making it cleaner and more objective, as well as an easier way to read on smartphones standing up, as we don't always have ergonomics to put the device down."
266,6/9/21 10:57:52,6/9/21 11:01:45,anonymous,,Male,55,Graduate Degree,Restaurant Menu,More than a month ago,More than once,Locate specific information;,Restaurant Menu;Product Specifications;,Text/Numbers arranged in rows and columns,Neither Easy nor Hard,Use your phone anyway,Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;Text is too close together;Hard to tell what text is in what row;,that I can zoom in a section
267,6/9/21 11:01:07,6/9/21 11:02:30,anonymous,,Male,28,Graduate Degree,Restaurant Menu,In the last week,Once,Locate specific information;,Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Easy,"View the table on a larger device (e.g., laptop or tablet)",Hard to tell what text is in what row;Can’t see all the information I need at the same time;,"A table is a grid of cells arranged in rows and columns. ... In Word, you can create a blank table, convert text to a table, and apply a variety of styles and formats to ... If the insertion point is in the last cell, pressing the Tab key will automatically create a new row. ... You may need to experiment to get the exact look you want.
"
268,6/9/21 10:59:58,6/9/21 11:03:56,anonymous,,Female,34,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,Once,Read the entire table word for word;,Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Easy,Use your phone anyway,Text is too small;,bigger text
269,6/9/21 10:59:22,6/9/21 11:04:28,anonymous,,Male,33,Bachelor's Degree,Finance / Money / Receipt / Invoice,In the last week,Once,Read the entire table word for word;,Finance / Money / Receipt / Invoice;,A piece of furniture with a flat top and one or more legs,Easy,Give up and not read the table,Table is too wide or too tall for screen;,better font 
270,6/9/21 11:02:23,6/9/21 11:04:38,anonymous,,Female,25,Graduate Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Once,Analyze/compare rows or columns;,Nutrition / Ingredient list / Dosage chart;,A piece of furniture with a flat top and one or more legs,Very Hard,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Hard to tell what text is in what column;,My hand and net speed
271,6/9/21 11:00:43,6/9/21 11:05:10,anonymous,,Male,34,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,Once,Analyze/compare rows or columns;,Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,Print out the table,Text is too small;,any time and anywhere
272,6/9/21 10:58:44,6/9/21 11:05:18,anonymous,,Male,28,Bachelor's Degree,Finance / Money / Receipt / Invoice,In the last week,More than once,Analyze/compare rows or columns;Locate specific information;,Finance / Money / Receipt / Invoice;Product Specifications;Nutrition / Ingredient list / Dosage chart;Restaurant Menu;,Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Table is too wide or too tall for screen;,An option to quick zoom in/out. Designer should design for table according to smartphone interface.
273,6/9/21 11:02:08,6/9/21 11:05:58,anonymous,,Male,28,Bachelor's Degree,"Schedule (Bus, event calendar, time sheet, etc.)",In the last week,More than once,Edit the table;Locate specific information;,"Schedule (Bus, event calendar, time sheet, etc.);",Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Hard to tell what text is in what row;Text is too small;,a guide line to show the table columns
274,6/9/21 11:02:57,6/9/21 11:06:19,anonymous,,Male,33,Graduate Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Once,Read the entire table word for word;Locate specific information;Analyze/compare rows or columns;,Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Finance / Money / Receipt / Invoice;,A website that has lots of information on it,Hard,Use your phone anyway,Text is too small;,Make tables clear and stick to objective.
275,6/9/21 11:03:22,6/9/21 11:06:22,anonymous,,Male,42,High School Diploma or GED,Nutrition / Ingredient list / Dosage chart,In the last month,Once,Locate specific information;,Finance / Money / Receipt / Invoice;,Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Text is too small;,if it could be enlarged to a bigger version right on your device
276,6/9/21 11:03:10,6/9/21 11:07:03,anonymous,,Male,40,Bachelor's Degree,Product Specifications,In the last week,Once,Locate specific information;,"Nutrition / Ingredient list / Dosage chart;Schedule (Bus, event calendar, time sheet, etc.);Product Specifications;Finance / Money / Receipt / Invoice;",Text/Numbers arranged in rows and columns,Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;,I feel like the format in which the table is created plays a huge role in how easy it will be to read tables on my phone
277,6/9/21 11:00:10,6/9/21 11:07:13,anonymous,,Female,28,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Once,Read the entire table word for word;Copy/paste text from the table;,Nutrition / Ingredient list / Dosage chart;Product Specifications;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Text is too small;,zoom quality was clear.
278,6/9/21 11:03:35,6/9/21 11:08:14,anonymous,,Male,34,Graduate Degree,Restaurant Menu,In the last week,Once,Locate specific information;Analyze/compare rows or columns;,"Restaurant Menu;Finance / Money / Receipt / Invoice;Schedule (Bus, event calendar, time sheet, etc.);Nutrition / Ingredient list / Dosage chart;",Text/Numbers arranged in rows and columns,Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;formatting is messed up;,if it automatically resizes and adjusts to the size of the screen.
279,6/9/21 11:02:01,6/9/21 11:08:50,anonymous,,Male,38,Graduate Degree,Finance / Money / Receipt / Invoice,In the last day,More than once,Locate specific information;Analyze/compare rows or columns;,"Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);",Text/Numbers arranged in rows and columns,Neither Easy nor Hard,Use your phone anyway,Table is too wide or too tall for screen;Text is too small;,We can use it anywhere whenever required.
280,6/9/21 11:07:11,6/9/21 11:09:52,anonymous,,Female,25,Graduate Degree,Product Specifications,In the last month,Never,Locate specific information;,"Nutrition / Ingredient list / Dosage chart;Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);",Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Hard to tell what text is in what row;Hard to tell what text is in what column;,A zoom into the word or number I'm reading.
281,6/9/21 11:07:30,6/9/21 11:10:04,anonymous,,Male,30,Graduate Degree,Restaurant Menu,In the last day,Once,Read the entire table word for word;,Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Easy,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;,very
282,6/9/21 11:07:59,6/9/21 11:11:18,anonymous,,Male,28,Bachelor's Degree,Restaurant Menu,In the last day,Once,Locate specific information;,"Finance / Money / Receipt / Invoice;Restaurant Menu;Schedule (Bus, event calendar, time sheet, etc.);",Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Table is too wide or too tall for screen;Text is too small;Hard to tell what text is in what column;,I believe that it should be more organized and with a variety of colors so that I can identify things more easily.
